Block_ID,VN1_Start,VN1_End,VN1_Strand,CH1_Start,CH1_End,CH1_Strand,CH2_Start,CH2_End,CH2_Strand,10_Sro_Shorea_Start,10_Sro_Shorea_End,10_Sro_Shorea_Strand,Cacao_Outgroup_Start,Cacao_Outgroup_End,Cacao_Outgroup_Strand
LCB_45,107563,109485,+,278382,280304,+,133244,135166,+,80905,82827,+,-,-,-
LCB_46,46482,51321,+,217313,222152,+,191272,196111,-,75997,80834,-,-,-,-
LCB_47,354808,355372,+,112370,112934,+,349223,349787,+,69928,70492,+,-,-,-
LCB_48,82327,82694,+,253153,253520,+,108008,108375,+,69599,69862,+,-,-,-
LCB_49,82798,83354,+,253624,254180,+,108479,109035,+,68956,69509,+,-,-,-
LCB_50,353570,354802,+,111132,112364,+,347985,349217,+,67486,68718,+,-,-,-
LCB_51,210936,210955,+,381737,381756,+,31569,31587,-,65301,65320,+,-,-,-
LCB_52,209968,209997,+,380769,380798,+,32526,32555,-,64328,64357,+,-,-,-
LCB_53,249288,249914,+,6854,7480,+,244152,244778,+,63658,64284,-,-,-,-
LCB_54,249942,254342,+,7509,11899,+,244808,249198,+,59303,63653,-,-,-,-
LCB_55,254800,254881,+,12357,12438,+,249656,249737,+,58764,58845,-,-,-,-
LCB_56,261517,261656,+,19074,19213,+,256373,256512,+,48793,48932,+,-,-,-
LCB_57,258851,260431,+,16408,17988,+,253707,255287,+,46127,47707,+,-,-,-
LCB_58,257252,257932,+,14809,15489,+,252108,252788,+,44528,45208,+,-,-,-
LCB_59,306745,306842,+,64312,64409,+,301218,301315,+,149380,149477,+,-,-,-
LCB_60,306601,306692,+,64168,64259,+,301074,301165,+,149236,149327,+,-,-,-
LCB_61,304792,305757,+,62359,63324,+,299265,300230,+,147427,148392,+,-,-,-
LCB_62,303774,303870,+,61341,61437,+,298247,298343,+,146417,146505,+,-,-,-
LCB_63,302813,303673,+,60380,61240,+,297286,298146,+,145456,146316,+,-,-,-
LCB_64,301736,302211,+,59303,59778,+,296209,296684,+,144379,144854,+,-,-,-
LCB_65,301123,301553,+,58690,59120,+,295596,296026,+,143766,144196,+,-,-,-
LCB_66,298404,300252,+,55971,57819,+,292877,294725,+,141055,142895,+,-,-,-
LCB_67,294585,294960,+,52150,52527,+,-,-,-,137250,137627,+,-,-,-
LCB_68,292550,294584,+,50115,52149,+,287408,289442,+,135221,137249,+,-,-,-
LCB_69,284869,284895,+,42427,42453,+,279727,279753,+,127533,127560,+,-,-,-
LCB_70,282887,282890,+,40445,40448,+,277745,277748,+,125556,125559,+,-,-,-
LCB_71,281587,281608,+,39145,39166,+,276445,276466,+,124256,124277,+,-,-,-
LCB_72,277632,277655,+,35189,35213,+,272488,272513,+,120300,120324,+,-,-,-
LCB_73,276877,277007,+,34434,34564,+,271733,271863,+,119545,119675,+,-,-,-
LCB_74,276780,276819,+,34337,34376,+,271636,271675,+,119448,119487,+,-,-,-
LCB_75,275838,275866,+,33395,33423,+,270694,270722,+,118513,118541,+,-,-,-
LCB_76,273876,274584,+,31433,32141,+,268732,269440,+,116551,117259,+,-,-,-
LCB_77,272419,272657,+,29976,30214,+,267275,267513,+,115094,115332,+,-,-,-
LCB_78,272145,272148,+,29702,29705,+,267001,267004,+,114809,114812,+,-,-,-
LCB_79,364020,365518,+,121582,123080,+,358435,359933,+,373822,375320,+,-,-,-
LCB_80,62498,62589,+,233333,233424,+,179990,180081,-,373417,373509,-,-,-,-
LCB_81,146214,147614,+,317014,318414,+,171951,173351,+,365397,366797,+,-,-,-
LCB_82,142278,143716,+,313078,314516,+,168015,169453,+,361465,362890,+,-,-,-
LCB_83,140983,142097,+,311783,312897,+,166720,167834,+,360161,361275,+,-,-,-
LCB_84,136989,137095,+,307789,307895,+,162726,162832,+,356175,356281,+,-,-,-
LCB_85,136399,136445,+,307199,307245,+,162136,162182,+,355585,355631,+,-,-,-
LCB_86,134839,135059,+,305639,305859,+,160576,160796,+,354025,354245,+,-,-,-
LCB_87,-,-,-,-,-,-,89098,89098,-,347218,347218,-,-,-,-
LCB_88,153426,153488,+,324226,324288,+,89035,89097,-,347155,347217,-,-,-,-
LCB_89,154338,155863,+,325138,326663,+,86660,88185,-,344793,346313,-,-,-,-
LCB_90,156727,157238,+,327527,328038,+,85285,85797,-,343418,343930,-,-,-,-
LCB_91,157398,159705,+,328198,330505,+,82818,85125,-,340947,343258,-,-,-,-
LCB_92,159927,160307,+,330727,331107,+,82216,82596,-,340345,340725,-,-,-,-
LCB_93,366715,369541,+,124277,127103,+,361130,363956,+,337522,340339,+,-,-,-
LCB_94,355576,356051,+,113138,113613,+,349991,350466,+,331880,332355,+,-,-,-
LCB_95,51324,51637,+,222155,222468,+,190956,191269,-,331149,331462,-,-,-,-
LCB_96,51846,51982,+,222677,222813,+,190612,190747,-,330808,330940,-,-,-,-
LCB_97,52136,53562,+,222967,224393,+,189031,190457,-,329222,330653,-,-,-,-
LCB_98,174318,174901,+,345119,345702,+,67622,68205,-,423139,423706,-,-,-,-
LCB_99,174926,175811,+,345727,346612,+,66712,67597,-,422240,423114,-,-,-,-
LCB_100,360815,363124,+,118377,120686,+,355230,357539,+,420555,421990,+,-,-,-
LCB_101,186601,189370,+,357402,360171,+,53153,55922,-,417705,420465,+,-,-,-
LCB_102,185917,186600,+,356718,357401,+,55924,56606,-,417701,417704,+,-,-,-
LCB_103,184057,185915,+,354858,356716,+,56608,58466,-,415849,417700,+,-,-,-
LCB_104,177697,183931,+,348498,354732,+,58592,64826,-,409489,415723,+,-,-,-
LCB_105,177428,177492,+,348229,348293,+,65031,65096,-,409227,409291,+,-,-,-
LCB_106,175871,176362,+,346672,347163,+,66161,66652,-,407670,408161,+,-,-,-
LCB_107,163276,173533,+,334076,344334,+,68990,79247,-,397397,407665,+,-,-,-
LCB_108,161952,163051,+,332752,333851,+,79472,80571,-,392931,394027,+,-,-,-
LCB_109,83355,83711,+,254181,254537,+,109036,109392,+,391542,391895,+,-,-,-
LCB_110,173824,174317,+,344625,345118,+,68206,68699,-,390971,391461,+,-,-,-
LCB_111,161944,161951,+,332744,332751,+,80572,80579,-,390665,390670,+,-,-,-
LCB_112,160374,161731,+,331174,332531,+,80792,82149,-,389092,390452,+,-,-,-
LCB_113,89197,89301,+,260017,260121,+,114878,114982,+,385969,386073,+,-,-,-
LCB_114,86899,87118,+,257725,257944,+,112580,112799,+,383718,383937,+,-,-,-
LCB_115,86148,86150,+,256974,256976,+,111829,111831,+,382967,382969,+,-,-,-
LCB_116,220774,220951,+,391575,391752,+,21576,21753,-,377050,377221,+,-,-,-
LCB_117,112970,113455,+,283789,284274,+,138651,139136,+,376575,377049,+,-,-,-
LCB_118,76452,80744,+,247287,251579,+,102133,106425,+,287729,290350,-,-,-,-
LCB_119,311641,316735,+,69208,74293,+,306114,311208,+,282643,287724,-,-,-,-
LCB_120,318962,319009,+,76520,76567,+,313435,313482,+,280369,280415,-,-,-,-
LCB_121,319444,319447,+,77002,77005,+,313917,313920,+,279931,279933,-,-,-,-
LCB_122,324816,324856,+,82374,82414,+,319289,319329,+,274506,274545,-,-,-,-
LCB_123,326168,326328,+,83726,83886,+,320641,320801,+,273031,273190,-,-,-,-
LCB_124,329004,329007,+,86572,86575,+,323477,323480,+,270342,270344,-,-,-,-
LCB_125,329793,330114,+,87361,87682,+,324266,324587,+,269241,269561,-,-,-,-
LCB_126,330342,330731,+,87910,88299,+,324815,325204,+,268848,269236,-,-,-,-
LCB_127,331060,333020,+,88628,90588,+,325533,327493,+,266558,268518,-,-,-,-
LCB_128,333193,333975,+,90761,91543,+,327666,328448,+,265603,266385,-,-,-,-
LCB_129,333990,334567,+,91558,92135,+,328463,329040,+,264966,265543,-,-,-,-
LCB_130,334744,335104,+,92312,92672,+,329217,329577,+,264606,264961,-,-,-,-
LCB_131,335674,335681,+,93242,93249,+,330147,330154,+,264596,264602,-,-,-,-
LCB_132,336563,337056,+,94131,94624,+,331036,331529,+,263236,263713,-,-,-,-
LCB_133,337684,337720,+,95252,95288,+,332157,332193,+,262572,262607,-,-,-,-
LCB_134,338886,338935,+,96454,96503,+,333359,333408,+,261364,261413,-,-,-,-
LCB_135,126027,127957,+,296827,298757,+,151764,153694,+,259247,261177,+,-,-,-
LCB_136,125620,125622,+,296420,296422,+,151357,151359,+,259021,259023,+,-,-,-
LCB_137,53568,54504,+,224403,225339,+,188075,189011,-,328286,329222,-,-,-,-
LCB_138,60578,60613,+,231413,231448,+,181966,182002,-,322171,322207,-,-,-,-
LCB_139,60802,61319,+,231637,232154,+,181260,181777,-,321465,321982,-,-,-,-
LCB_140,61445,61550,+,232280,232385,+,181029,181134,-,321240,321345,-,-,-,-
LCB_141,61875,62328,+,232710,233163,+,180251,180704,-,320469,320915,-,-,-,-
LCB_142,386054,386843,+,143616,144409,+,380469,381258,+,319669,320458,-,-,-,-
LCB_143,386924,387336,+,144490,144902,+,381339,381751,+,319176,319588,-,-,-,-
LCB_144,390767,392329,+,148333,149895,+,385182,386744,+,314183,315745,-,-,-,-
LCB_145,392705,400372,+,150271,157938,+,387120,394774,+,306132,313807,-,-,-,-
LCB_146,401488,401645,+,159054,159211,+,395890,396047,+,305970,306127,-,-,-,-
LCB_147,402077,405212,+,159643,162778,+,396479,399614,+,302831,305965,-,-,-,-
LCB_148,405421,405863,+,162987,163429,+,399823,400265,+,302180,302621,-,-,-,-
LCB_149,407901,407927,+,165467,165493,+,402303,402329,+,300115,300141,-,-,-,-
LCB_150,408311,408562,+,165877,166128,+,402713,402964,+,299341,299601,-,-,-,-
LCB_151,409128,409213,+,166694,166779,+,403530,403615,+,298992,299079,-,-,-,-
LCB_152,220239,220670,+,391040,391471,+,21857,22288,-,295202,295633,+,-,-,-
LCB_153,219420,219979,+,390221,390780,+,22548,23107,-,294393,294942,+,-,-,-
LCB_154,218517,219186,+,389318,389987,+,23341,24010,-,293490,294159,+,-,-,-
LCB_155,371658,372543,+,129220,130105,+,366073,366958,+,291549,292224,-,-,-,-
LCB_156,67035,67460,+,237870,238295,+,92716,93141,+,290355,290774,-,-,-,-
LCB_157,216952,218516,+,387753,389317,+,24011,25575,-,-,-,-,-,-,-
LCB_158,212595,216903,+,383396,387704,+,25624,29933,-,-,-,-,-,-,-
LCB_159,40382,40834,+,211204,211656,+,201760,202211,-,25362,25814,+,-,-,-
LCB_160,211860,211895,+,382661,382696,+,30628,30663,-,-,-,-,-,-,-
LCB_161,115008,125001,+,285827,295802,+,140688,150738,+,-,-,-,-,-,-
LCB_162,107561,107562,+,278380,278381,+,133242,133243,+,-,-,-,-,-,-
LCB_163,41009,41394,+,211831,212216,+,201200,201584,-,25989,26374,+,-,-,-
LCB_164,96535,96697,+,267354,267516,+,122216,122378,+,-,-,-,-,-,-
LCB_165,95082,96184,+,265901,267003,+,120763,121865,+,-,-,-,-,-,-
LCB_166,94529,94975,+,265348,265794,+,120210,120656,+,-,-,-,-,-,-
LCB_167,41521,42793,+,212343,213615,+,199800,201072,-,26501,27765,+,-,-,-
LCB_168,93534,93672,+,264353,264491,+,119215,119353,+,-,-,-,-,-,-
LCB_169,42990,43011,+,213812,213833,+,199583,199603,-,27962,27983,+,-,-,-
LCB_170,92300,93303,+,263119,264122,+,117981,118984,+,-,-,-,-,-,-
LCB_171,87528,87551,+,258348,258371,+,113209,113232,+,-,-,-,-,-,-
LCB_172,43152,44186,+,213974,215017,+,198408,199441,-,28123,29166,+,-,-,-
LCB_173,85857,85859,+,256683,256685,+,111538,111540,+,-,-,-,-,-,-
LCB_174,129085,129952,+,299885,300752,+,154822,155689,+,-,-,-,-,-,-
LCB_175,132882,132887,+,303682,303687,+,158619,158624,+,-,-,-,-,-,-
LCB_176,338946,339824,+,96514,97392,+,333419,334297,+,6696,7613,+,-,-,-
LCB_177,44511,45041,+,215342,215872,+,197552,198082,-,29491,30032,+,-,-,-
LCB_178,133057,133835,+,303857,304635,+,158794,159572,+,-,-,-,-,-,-
LCB_179,134290,134838,+,305090,305638,+,160027,160575,+,-,-,-,-,-,-
LCB_180,45042,45042,+,-,-,-,197551,197551,-,30033,30033,+,-,-,-
LCB_181,45043,45246,+,215873,216077,+,197348,197550,-,30034,30237,+,-,-,-
LCB_182,62329,62497,+,233164,233332,+,180082,180250,-,-,-,-,-,-,-
LCB_183,266844,271488,+,24401,29045,+,261700,266344,+,-,-,-,-,-,-
LCB_184,45247,46288,+,216078,217119,+,196305,197346,-,30238,31295,+,-,-,-
LCB_185,409214,413260,+,166780,170826,+,403616,407662,+,-,-,-,-,-,-
LCB_186,408563,409127,+,166129,166693,+,402965,403529,+,-,-,-,-,-,-
LCB_187,407928,408310,+,165494,165876,+,402330,402712,+,-,-,-,-,-,-
LCB_188,401646,402076,+,159212,159642,+,396048,396478,+,-,-,-,-,-,-
LCB_189,400373,401487,+,157939,159053,+,394775,395889,+,-,-,-,-,-,-
LCB_190,63417,63417,+,234252,234252,+,-,-,-,-,-,-,-,-,-
LCB_191,385952,386053,+,143514,143615,+,380367,380468,+,-,-,-,-,-,-
LCB_192,27387,27529,+,198209,198351,+,213767,213908,-,12368,12510,+,-,-,-
LCB_193,96,100,+,170923,170927,+,1,5,-,-,-,-,-,-,-
LCB_194,240908,241564,+,411699,412355,+,963,1619,-,-,-,-,-,-,-
LCB_195,29195,29199,+,200017,200021,+,212097,212100,-,14176,14180,+,-,-,-
LCB_196,372544,372753,+,130106,130315,+,366959,367168,+,-,-,-,-,-,-
LCB_197,232354,232354,+,403154,403154,+,10173,10173,-,-,-,-,-,-,-
LCB_198,370431,371657,+,127993,129219,+,364846,366072,+,-,-,-,-,-,-
LCB_199,29892,32022,+,200714,202844,+,209273,211403,-,14873,17003,+,-,-,-
LCB_200,220952,220953,+,391753,391754,+,21574,21575,-,-,-,-,-,-,-
LCB_201,220771,220773,+,391572,391574,+,21754,21756,-,-,-,-,-,-,-
LCB_202,32128,33735,+,202950,204557,+,207532,209167,-,17109,18708,+,-,-,-
LCB_203,369542,370376,+,127104,127938,+,363957,364791,+,-,-,-,-,-,-
LCB_204,33736,35608,+,204558,206430,+,-,-,-,18709,20581,+,-,-,-
LCB_205,35609,37027,+,206431,207849,+,205532,206884,-,20582,22007,+,-,-,-
LCB_206,366679,366714,+,124241,124276,+,361094,361129,+,-,-,-,-,-,-
LCB_207,363125,364019,+,120687,121581,+,357540,358434,+,-,-,-,-,-,-
LCB_208,40197,40200,+,211019,211022,+,202394,202396,-,25177,25180,+,-,-,-
LCB_209,360713,360814,+,118275,118376,+,355128,355229,+,-,-,-,-,-,-
LCB_210,22882,24424,+,193704,195246,+,216871,218413,-,7870,9405,+,-,-,-
LCB_211,242440,242476,+,2,38,+,-,-,-,-,-,-,-,-,-
LCB_212,359956,359957,+,117518,117519,+,354371,354372,+,-,-,-,-,-,-
LCB_213,355550,355575,+,113112,113137,+,349965,349990,+,-,-,-,-,-,-
LCB_214,189371,189379,+,360172,360180,+,53144,53152,-,-,-,-,-,-,-
LCB_215,206957,206957,+,377758,377758,+,35566,35566,-,-,-,-,-,-,-
LCB_216,101259,101801,+,272078,272620,+,126940,127482,+,37056,37598,-,-,-,-
LCB_217,211896,212594,+,382697,383395,+,-,-,-,-,-,-,-,-,-
LCB_218,334568,334743,+,92136,92311,+,329041,329216,+,-,-,-,-,-,-
LCB_219,242477,246335,+,39,3899,+,407665,411508,+,-,-,-,-,-,-
LCB_220,101151,101178,+,271970,271997,+,126832,126859,+,37680,37706,-,-,-,-
LCB_221,333976,333989,+,91544,91557,+,328449,328462,+,-,-,-,-,-,-
LCB_222,330115,330341,+,87683,87909,+,324588,324814,+,-,-,-,-,-,-
LCB_223,100861,100941,+,271680,271760,+,126542,126622,+,37918,37998,-,-,-,-
LCB_224,160308,160373,+,331108,331173,+,82150,82215,-,-,-,-,-,-,-
LCB_225,323809,323811,+,81367,81369,+,318282,318284,+,-,-,-,-,-,-
LCB_226,100745,100807,+,271564,271626,+,126426,126488,+,38052,38114,-,-,-,-
LCB_227,310112,311640,+,67679,69207,+,304585,306113,+,-,-,-,-,-,-
LCB_228,100392,100430,+,271211,271249,+,126073,126111,+,38430,38467,-,-,-,-
LCB_229,63419,64470,+,234254,235305,+,89100,90151,+,1,1052,+,-,-,-
LCB_230,63418,63418,+,234253,234253,+,89099,89099,+,-,-,-,-,-,-
LCB_231,209907,209967,+,380708,380768,+,32556,32616,-,-,-,-,-,-,-
LCB_232,99264,100072,+,270083,270891,+,124945,125753,+,38787,39599,-,-,-,-
LCB_233,67031,67032,+,237866,237867,+,92712,92713,+,-,-,-,-,-,-
LCB_234,99184,99187,+,270003,270006,+,124865,124868,+,39677,39679,-,-,-,-
LCB_235,67461,76451,+,238296,247286,+,93142,102132,+,-,-,-,-,-,-
LCB_236,80745,80844,+,251580,251679,+,106426,106525,+,-,-,-,-,-,-
LCB_237,80893,80896,+,251728,251731,+,106574,106577,+,-,-,-,-,-,-
LCB_238,96698,98921,+,267517,269740,+,122379,124602,+,39942,42157,-,-,-,-
LCB_239,82118,82326,+,252944,253152,+,107799,108007,+,-,-,-,-,-,-
LCB_240,254884,256186,+,12441,13743,+,249740,251042,+,42160,43462,+,-,-,-
LCB_241,82695,82797,+,253521,253623,+,108376,108478,+,-,-,-,-,-,-
LCB_242,83934,83937,+,254760,254763,+,109615,109618,+,-,-,-,-,-,-
LCB_243,53563,53567,+,224394,224402,+,189012,189030,-,-,-,-,-,-,-
LCB_244,107347,107560,+,278166,278379,+,133028,133241,+,31304,31517,-,-,-,-
LCB_245,254882,254883,+,12439,12440,+,249738,249739,+,-,-,-,-,-,-
LCB_246,51322,51323,+,222153,222154,+,191270,191271,-,-,-,-,-,-,-
LCB_247,46289,46481,+,217120,217312,+,196112,196304,-,-,-,-,-,-,-
LCB_248,107120,107124,+,277939,277943,+,132801,132805,+,31741,31744,-,-,-,-
LCB_249,22876,22881,+,193698,193703,+,218414,218419,-,-,-,-,-,-,-
LCB_250,249915,249941,+,7481,7508,+,244779,244807,+,-,-,-,-,-,-
LCB_251,246336,249287,+,3900,6853,+,241194,244151,+,-,-,-,-,-,-
LCB_252,105807,106682,+,276626,277501,+,131488,132363,+,32182,33057,-,-,-,-
LCB_253,13946,14112,+,184773,184939,+,227182,227348,-,-,-,-,-,-,-
LCB_254,106,223,+,170933,171050,+,241071,241188,-,-,-,-,-,-,-
LCB_255,335105,335673,+,92673,93241,+,329578,330146,+,-,-,-,-,-,-
LCB_256,105418,105533,+,276237,276352,+,131099,131214,+,33331,33446,-,-,-,-
LCB_257,163052,163275,+,333852,334075,+,79249,79471,-,-,-,-,-,-,-
LCB_258,338936,338945,+,96504,96513,+,333409,333418,+,-,-,-,-,-,-
LCB_259,185916,185916,+,356717,356717,+,56607,56607,-,-,-,-,-,-,-
LCB_260,354803,354807,+,112365,112369,+,349218,349222,+,-,-,-,-,-,-
LCB_261,350782,351499,+,108344,109061,+,345197,345914,+,-,-,-,-,-,-
LCB_262,101,105,+,170928,170932,+,-,-,-,-,-,-,-,-,-
LCB_263,67033,67034,+,237868,237869,+,-,-,-,-,-,-,-,-,-
LCB_264,349407,350301,+,106969,107863,+,343822,344716,+,-,-,-,-,-,-
LCB_265,175812,175870,+,346613,346671,+,66653,66711,-,-,-,-,-,-,-
LCB_266,174902,174925,+,345703,345726,+,67598,67622,-,-,-,-,-,-,-
LCB_267,339825,349335,+,97393,106897,+,334298,343750,+,-,-,-,-,-,-
LCB_268,105303,105341,+,276122,276160,+,130984,131022,+,33524,33555,-,-,-,-
LCB_269,173534,173823,+,344335,344624,+,68700,68989,-,-,-,-,-,-,-
LCB_270,305758,306600,+,63325,64167,+,300231,301073,+,148393,149235,+,6079,6805,-
LCB_271,303871,304791,+,61438,62358,+,298344,299264,+,146506,147426,+,6811,7734,-
LCB_272,303674,303773,+,61241,61340,+,298147,298246,+,146317,146416,+,7901,7998,-
LCB_273,333021,333192,+,90589,90760,+,327494,327665,+,266386,266557,-,9219,9408,+
LCB_274,335682,336562,+,93250,94130,+,330155,331035,+,263714,264594,-,10302,11184,+
LCB_275,337057,337683,+,94625,95251,+,331530,332156,+,262608,263234,-,11189,11814,+
LCB_276,337721,338885,+,95289,96453,+,332194,333358,+,261414,262570,-,11909,13071,+
LCB_277,300253,300471,+,57820,58038,+,294726,294944,+,142896,143114,+,13774,13973,-
LCB_278,142098,142277,+,312898,313077,+,167835,168014,+,361276,361464,+,16415,16591,+
LCB_279,143717,146213,+,314517,317013,+,169454,171950,+,362891,365396,+,17407,17589,+
LCB_280,89302,92299,+,260122,263118,+,114983,117980,+,386074,389070,+,18792,20889,-
LCB_281,88484,89196,+,259304,260016,+,114165,114877,+,385256,385968,+,21110,21807,-
LCB_282,209623,209906,+,380424,380707,+,32617,32900,-,172431,172719,-,29245,29531,+
LCB_283,-,-,-,-,-,-,-,-,-,172382,172430,-,29532,29580,+
LCB_284,209998,210935,+,380799,381736,+,31588,32525,-,64358,65300,+,29779,30739,+
LCB_285,210956,210964,+,381757,381765,+,31559,31567,-,65321,65329,+,30742,30750,+
LCB_286,210965,211859,+,381766,382660,+,30664,31558,-,-,-,-,30751,31645,+
LCB_287,256187,257251,+,13744,14808,+,251043,252107,+,43463,44527,+,31889,32298,+
LCB_288,32023,32127,+,202845,202949,+,209168,209272,-,17004,17108,+,35243,35345,+
LCB_289,-,-,-,-,-,-,-,-,-,167017,167101,-,37216,37300,-
LCB_290,-,-,-,-,-,-,-,-,-,167107,168324,-,37324,38529,-
LCB_291,-,-,-,-,-,-,-,-,-,168348,172244,-,38553,42410,-
LCB_292,-,-,-,-,-,-,-,-,-,109276,110246,+,42492,43463,-
LCB_293,-,-,-,-,-,-,-,-,-,108265,109271,+,43508,44531,-
LCB_294,109927,112969,+,280746,283788,+,135608,138650,+,83269,86311,+,53014,54075,-
LCB_295,109486,109883,+,280305,280702,+,135167,135564,+,82828,83225,+,54080,54486,-
LCB_296,136446,136988,+,307246,307788,+,162183,162725,+,355632,356174,+,64432,64979,-
LCB_297,135060,136398,+,305860,307198,+,160797,162135,+,354246,355584,+,65959,67303,-
LCB_298,157239,157397,+,328039,328197,+,85126,85284,-,343259,343417,-,74817,74966,-
LCB_299,155864,156726,+,326664,327526,+,85797,86659,-,343930,344792,-,76592,77456,-
LCB_300,105534,105806,+,276353,276625,+,131215,131487,+,33058,33330,-,77483,77755,+
LCB_301,64471,67030,+,235306,237865,+,90152,92711,+,1053,3606,+,78052,80238,-
LCB_302,134031,134151,+,304831,304951,+,159768,159888,+,195590,195704,-,82052,82172,-
LCB_303,-,-,-,-,-,-,-,-,-,196015,196171,-,82599,82754,-
LCB_304,376576,376741,+,134138,134303,+,370991,371156,+,90147,90312,+,97835,97999,+
LCB_305,376866,384913,+,134428,142475,+,371281,379328,+,90437,98474,+,98004,106076,+
LCB_306,385324,385940,+,142886,143502,+,379739,380355,+,98887,99503,+,106625,106796,+
LCB_307,61551,61874,+,232386,232709,+,180705,181028,-,320916,321239,-,108369,108715,-
LCB_308,-,-,-,-,-,-,-,-,-,101136,101254,+,118721,118849,-
LCB_309,106683,107119,+,277502,277938,+,132364,132800,+,31745,32181,-,124511,124960,+
LCB_310,107125,107346,+,277944,278165,+,132806,133027,+,31518,31739,-,125007,125222,+
LCB_311,102313,105302,+,273132,276121,+,127994,130983,+,33556,36544,-,132517,135493,+
LCB_312,105342,105417,+,276161,276236,+,131023,131098,+,33447,33522,-,135498,135566,+
LCB_313,-,-,-,-,-,-,-,-,-,112850,113005,+,137868,138017,-
LCB_314,307677,307970,+,65244,65537,+,302150,302443,+,150312,150605,+,140337,140512,+
LCB_315,159706,159926,+,330506,330726,+,82597,82817,-,340726,340946,-,151886,152106,-
